Delay,Size,Concurrency,Average Latency (s),Requests/sec
1100,500,1500,1.1500,1281.7665
1100,1000,100,1.1058,112.8917
1100,1000,200,1.1072,180.1682
1100,1000,300,1.1097,269.6622
1100,1000,400,1.1133,356.6996
1100,1000,500,1.1208,441.1572
1100,1000,600,1.1238,526.1319
1100,1000,700,1.1413,599.4300
1100,1000,800,1.1374,686.9800
1100,1000,900,1.1544,760.0332
1100,1000,1000,1.1624,837.9095
1100,1000,1100,1.1575,921.1352
1100,1000,1200,1.1589,1009.8092
1100,1000,1300,1.1827,1067.4466
1100,1000,1400,1.2026,1131.2728
1100,1000,1500,1.1863,1213.0710
1200,0,100,1.2017,100.1429
1200,0,200,1.2019,166.3925
1200,0,300,1.2020,249.4738
1200,0,400,1.2026,332.3501
1200,0,500,1.2037,415.1526
1200,0,600,1.2034,497.4048
1200,0,700,1.2055,579.7227
1200,0,800,1.2045,662.4789
1200,0,900,1.2054,743.8070
1200,0,1000,1.2062,826.1535
1200,0,1100,1.2082,905.8330
1200,0,1200,1.2115,985.5528
1200,0,1300,1.2164,1063.9510
1200,0,1400,1.2136,1144.5701
1200,0,1500,1.2137,1226.1765
1200,500,100,1.2042,106.3507
1200,500,200,1.2053,165.6689
1200,500,300,1.2060,248.2866
1200,500,400,1.2076,330.2482
1200,500,500,1.2100,410.6434
1200,500,600,1.2169,488.4590
1200,500,700,1.2176,568.2069
1200,500,800,1.2238,643.0334
1200,500,900,1.2289,718.8028
1200,500,1000,1.2254,805.7452
1200,500,1100,1.2444,867.5526
1200,500,1200,1.2411,941.8616
1200,500,1300,1.2502,1017.4612
1200,500,1400,1.2773,1076.0575
1200,500,1500,1.2669,1152.9921
1200,1000,100,1.2062,88.0665
1200,1000,200,1.2080,165.2028
1200,1000,300,1.2099,247.1796
1200,1000,400,1.2128,327.8413
1200,1000,500,1.2176,407.2541
1200,1000,600,1.2244,482.6496
1200,1000,700,1.2250,561.6078
1200,1000,800,1.2454,626.4038
1200,1000,900,1.2521,702.0289
1200,1000,1000,1.2603,775.8185
1200,1000,1100,1.2664,847.7533
1200,1000,1200,1.2431,951.1908
1200,1000,1300,1.2730,997.8611
1200,1000,1400,1.2557,1081.4860
1200,1000,1500,1.2778,1140.6699
1300,0,100,1.3017,83.4521
1300,0,200,1.3018,153.6262
1300,0,300,1.3020,230.3025
1300,0,400,1.3031,306.7409
1300,0,500,1.3027,383.3840
1300,0,600,1.3037,459.4790
1300,0,700,1.3042,535.3501
1300,0,800,1.3057,611.2743
1300,0,900,1.3061,687.6380
1300,0,1000,1.3074,762.9951
1300,0,1100,1.3086,836.8454
1300,0,1200,1.3081,911.2034
1300,0,1300,1.3118,987.1608
1300,0,1400,1.3174,1056.1661
1300,0,1500,1.3148,1131.4914
1300,500,100,1.3044,102.0955
1300,500,200,1.3056,152.9404
1300,500,300,1.3065,229.2438
1300,500,400,1.3090,304.4063
1300,500,500,1.3116,379.4065
1300,500,600,1.3130,453.1582
1300,500,700,1.3196,525.0821
1300,500,800,1.3209,599.0029
1300,500,900,1.3320,664.5315
1300,500,1000,1.3412,733.8088
1300,500,1100,1.3498,799.7737
1300,500,1200,1.3556,866.2530
1300,500,1300,1.3591,937.0789
1300,500,1400,1.3461,1025.9608
1300,500,1500,1.3708,1071.0919
1300,1000,100,1.3058,81.4080
1300,1000,200,1.3076,152.7055
1300,1000,300,1.3103,228.0771
1300,1000,400,1.3121,303.3328
1300,1000,500,1.3197,375.4944
1300,1000,600,1.3286,444.1602
1300,1000,700,1.3475,508.6382
1300,1000,800,1.3317,589.3657
1300,1000,900,1.3616,648.1889
1300,1000,1000,1.3584,719.2444
1300,1000,1100,1.3553,796.9332
1300,1000,1200,1.3585,860.1626
1300,1000,1300,1.3654,935.6802
1300,1000,1400,1.3611,1010.9539
1300,1000,1500,1.3737,1062.9022
1400,0,100,1.4017,89.0833
1400,0,200,1.4019,142.6573
1400,0,300,1.4023,213.8851
1400,0,400,1.4026,285.0330
1400,0,500,1.4029,355.9942
1400,0,600,1.4033,426.9149
1400,0,700,1.4042,497.4739
1400,0,800,1.4056,567.7552
1400,0,900,1.4062,638.1737
1400,0,1000,1.4081,708.1987
1400,0,1100,1.4075,777.3560
1400,0,1200,1.4091,846.8312
1400,0,1300,1.4138,914.7033
1400,0,1400,1.4137,983.8458
1400,0,1500,1.4152,1052.1135
1400,500,100,1.4043,85.7296
1400,500,200,1.4053,142.1552
1400,500,300,1.4064,212.8296
1400,500,400,1.4088,283.0952
1400,500,500,1.4138,351.3765
1400,500,600,1.4136,421.3596
1400,500,700,1.4193,488.3250
1400,500,800,1.4252,553.6927
1400,500,900,1.4332,616.9605
1400,500,1000,1.4362,683.6645
1400,500,1100,1.4350,755.0920
1400,500,1200,1.4451,814.7452
1400,500,1300,1.4411,885.0954
1400,500,1400,1.4535,940.7801
1400,500,1500,1.4792,997.1403
1400,1000,100,1.4061,91.1096
1400,1000,200,1.4075,141.9031
1400,1000,300,1.4103,212.1378
1400,1000,400,1.4135,281.2899
1400,1000,500,1.4215,348.6788
1400,1000,600,1.4269,414.2348
1400,1000,700,1.4326,480.8214
1400,1000,800,1.4416,543.4358
1400,1000,900,1.4550,606.5371
1400,1000,1000,1.4455,678.4888
1400,1000,1100,1.4619,736.0681
1400,1000,1200,1.4552,806.4429
1400,1000,1300,1.4675,866.4629
1400,1000,1400,1.4790,922.8229
1400,1000,1500,1.5010,976.1341
1500,0,100,1.5018,80.1537
1500,0,200,1.5020,133.1466
1500,0,300,1.5022,199.6264
1500,0,400,1.5028,266.0237
1500,0,500,1.5032,332.3659
1500,0,600,1.5034,398.1710
1500,0,700,1.5042,464.6889
1500,0,800,1.5050,530.4352
1500,0,900,1.5047,596.7996
1500,0,1000,1.5070,661.3169
1500,0,1100,1.5098,725.9971
1500,0,1200,1.5106,791.5802
1500,0,1300,1.5174,852.8550
1500,0,1400,1.5154,918.0732
1500,0,1500,1.5168,980.5472
1500,500,100,1.5041,85.2058
1500,500,200,1.5053,132.7383
1500,500,300,1.5065,198.8230
1500,500,400,1.5080,264.5874
1500,500,500,1.5115,329.2428
1500,500,600,1.5152,393.5402
1500,500,700,1.5150,458.2334
1500,500,800,1.5214,519.6092
1500,500,900,1.5297,578.9958
1500,500,1000,1.5266,646.8454
1500,500,1100,1.5408,701.6836
1500,500,1200,1.5549,757.4695
1500,500,1300,1.5502,820.7787
1500,500,1400,1.5686,879.2660
1500,500,1500,1.5709,937.6479
1500,1000,100,1.5061,87.2373
1500,1000,200,1.5071,132.4914
1500,1000,300,1.5092,198.2007
1500,1000,400,1.5130,262.8495
1500,1000,500,1.5162,326.8722
1500,1000,600,1.5246,388.5379
1500,1000,700,1.5384,447.5690
1500,1000,800,1.5381,512.3131
